,DATE,GROSS_PROFIT_ACT
0,2020-01-01,71606.28709967902
1,2020-02-01,69344.30817722458
2,2020-03-01,97909.78269964267
3,2020-04-01,329265.7445461753
4,2020-05-01,166318.08705082937
5,2020-06-01,106871.77510476182
6,2020-07-01,73242.1376466276
7,2020-08-01,73206.20182777662
8,2020-09-01,74195.50290026564
9,2020-10-01,70269.55592834642
10,2020-11-01,74203.91481001522
11,2020-12-01,70776.46755293533
12,2021-01-01,73927.64353658102
13,2021-02-01,74806.81491937865
14,2021-03-01,129408.4353880953
15,2021-04-01,186055.15025199
16,2021-05-01,71623.8954704042
17,2021-06-01,48289.14802056887
18,2021-07-01,45095.91631166854
19,2021-08-01,55179.64410687741
20,2021-09-01,54490.06900696021
21,2021-10-01,55177.24296378472
22,2021-11-01,63910.01322633016
23,2021-12-01,60598.24915801784
24,2022-01-01,74572.61119712402
25,2022-02-01,71509.51334173004
26,2022-03-01,265537.8738830335
27,2022-04-01,159152.01061791836
28,2022-05-01,54948.60814995073
29,2022-06-01,51524.08920694435
30,2022-07-01,46250.76897164027
31,2022-08-01,56383.444192757335
32,2022-09-01,60489.66981384723
33,2022-10-01,69508.2931875735
34,2022-11-01,71556.82022764807
35,2022-12-01,67681.74714653254
